session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train3,picture_file
train3,list2,34,Ball_neu,Ball,neu,2,LFP,SN,ncblock,tool,Ball_klein,ball_klein.png
train3,list2,35,Bild_alt,Bild,alt,5,HFP,SP,ncblock,furniture,Bild_alt,bild_alt.png
train3,list2,36,Blatt_gruen,Blatt,gruen,6,HFP,SN,ncblock,nature,Blatt_klein,blatt_klein.png
train3,list2,37,Blume_neu,Blume,neu,7,LFP,SN,ncblock,nature,Blume_gross,blume_gross.png
train3,list2,38,Brief_gross,Brief,gross,9,LFP,SP,ncblock,tool,Brief_gross,brief_gross.png
train3,list2,39,Brot_alt,Brot,alt,11,HFP,SP,ncblock,food,Brot_alt,brot_alt.png
train3,list2,40,Buch_neu,Buch,neu,12,HFP,SN,ncblock,etc,Buch_alt,buch_alt.png
train3,list2,41,Bus_schwarz,Bus,schwarz,14,LFP,SN,ncblock,transportation,Bus_alt,bus_alt.png
train3,list2,42,Ei_gruen,Ei,gruen,16,LFP,SN,ncblock,food,Ei_neu,ei_neu.png
train3,list2,43,Fahrrad_alt,Fahrrad,alt,19,HFP,SN,ncblock,transportation,Fahrrad_gross,fahrrad_gross.png
train3,list2,44,Geschenk_klein,Geschenk,klein,24,HFP,SN,ncblock,etc,Geschenk_alt,geschenk_alt.png
train3,list2,45,Glas_neu,Glas,neu,25,HFP,SP,ncblock,tool,Glas_neu,glas_neu.png
train3,list2,46,Haus_alt,Haus,alt,26,HFP,SP,ncblock,building,Haus_alt,haus_alt.png
train3,list2,47,Kaffee_schwarz,Kaffee,schwarz,31,HFP,SN,ncblock,food,Kaffee_klein,kaffee_klein.png
train3,list2,48,Kerze_klein,Kerze,klein,33,HFP,SN,ncblock,etc,Kerze_neu,kerze_neu.png
train3,list2,49,Kleid_weiss,Kleid,weiss,35,HFP,SN,ncblock,clothing,Kleid_klein,kleid_klein.png
train3,list2,50,Krone_klein,Krone,klein,36,LFP,SN,ncblock,etc,Krone_gross,krone_gross.png
train3,list2,51,Lampe_gross,Lampe,gross,37,LFP,SP,ncblock,furniture,Lampe_gross,lampe_gross.png
train3,list2,52,Mann_gruen,Mann,gruen,38,LFP,SN,ncblock,human,Mann_neu,mann_neu.png
train3,list2,53,Paket_gross,Paket,gross,42,HFP,SP,ncblock,etc,Paket_gross,paket_gross.png
train3,list2,54,Palast_gross,Palast,gross,43,HFP,SN,ncblock,building,Palast_klein,palast_klein.png
train3,list2,55,Pfeil_gross,Pfeil,gross,44,LFP,SP,ncblock,etc,Pfeil_gross,pfeil_gross.png
train3,list2,56,Rock_klein,Rock,klein,47,LFP,SP,ncblock,clothing,Rock_klein,rock_klein.png
train3,list2,57,Schale_alt,Schale,alt,49,LFP,SP,ncblock,tool,Schale_alt,schale_alt.png
train3,list2,58,Stadion_neu,Stadion,neu,51,HFP,SP,ncblock,building,Stadion_neu,stadion_neu.png
train3,list2,59,Tasse_neu,Tasse,neu,52,LFP,SP,ncblock,tool,Tasse_neu,tasse_neu.png
train3,list2,60,Teppich_klein,Teppich,klein,53,LFP,SP,ncblock,furniture,Teppich_klein,teppich_klein.png
train3,list2,61,Tomate_neu,Tomate,neu,55,LFP,SP,ncblock,vegetable,Tomate_neu,tomate_neu.png
train3,list2,62,Tuer_neu,Tuer,neu,57,HFP,SP,ncblock,building,Tuer_neu,tuer_neu.png
train3,list2,63,Turm_weiss,Turm,weiss,58,LFP,SN,ncblock,building,Turm_neu,turm_neu.png
train3,list2,64,Uhr_klein,Uhr,klein,59,LFP,SP,ncblock,tool,Uhr_klein,uhr_klein.png
train3,list2,65,Zug_gross,Zug,gross,64,HFP,SN,ncblock,transportation,Zug_klein,zug_klein.png
train3,list2,66,Zwiebel_neu,Zwiebel,neu,66,LFP,SP,ncblock,vegetable,Zwiebel_neu,zwiebel_neu.png
