session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train5,picture_file
train5,list2,34,Apfel_rot,Apfel,rot,1,HFP,SN,ncblock,food,Apfel_gross,apfel_gross.png
train5,list2,35,Bett_gruen,Bett,gruen,4,LFP,SN,ncblock,furniture,Bett_klein,bett_klein.png
train5,list2,36,Bild_alt,Bild,alt,5,HFP,SP,ncblock,furniture,Bild_alt,bild_alt.png
train5,list2,37,Blume_neu,Blume,neu,7,LFP,SN,ncblock,nature,Blume_alt,blume_alt.png
train5,list2,38,Brief_gross,Brief,gross,9,LFP,SP,ncblock,tool,Brief_gross,brief_gross.png
train5,list2,39,Brille_neu,Brille,neu,10,HFP,SN,ncblock,etc,Brille_gross,brille_gross.png
train5,list2,40,Brot_alt,Brot,alt,11,HFP,SP,ncblock,food,Brot_alt,brot_alt.png
train5,list2,41,Bus_schwarz,Bus,schwarz,14,LFP,SN,ncblock,transportation,Bus_klein,bus_klein.png
train5,list2,42,Erde_gross,Erde,gross,17,LFP,SN,ncblock,nature,Erde_klein,erde_klein.png
train5,list2,43,Flagge_schwarz,Flagge,schwarz,21,HFP,SN,ncblock,etc,Flagge_neu,flagge_neu.png
train5,list2,44,Glas_neu,Glas,neu,25,HFP,SP,ncblock,tool,Glas_neu,glas_neu.png
train5,list2,45,Haus_alt,Haus,alt,26,HFP,SP,ncblock,building,Haus_alt,haus_alt.png
train5,list2,46,Hut_schwarz,Hut,schwarz,30,HFP,SN,ncblock,clothing,Hut_gross,hut_gross.png
train5,list2,47,Kamera_gross,Kamera,gross,32,LFP,SN,ncblock,tool,Kamera_klein,kamera_klein.png
train5,list2,48,Kleid_weiss,Kleid,weiss,35,HFP,SN,ncblock,clothing,Kleid_alt,kleid_alt.png
train5,list2,49,Lampe_gross,Lampe,gross,37,LFP,SP,ncblock,furniture,Lampe_gross,lampe_gross.png
train5,list2,50,Mann_gruen,Mann,gruen,38,LFP,SN,ncblock,human,Mann_gross,mann_gross.png
train5,list2,51,Paket_gross,Paket,gross,42,HFP,SP,ncblock,etc,Paket_gross,paket_gross.png
train5,list2,52,Pfeil_gross,Pfeil,gross,44,LFP,SP,ncblock,etc,Pfeil_gross,pfeil_gross.png
train5,list2,53,Pflanze_rot,Pflanze,rot,45,LFP,SN,ncblock,nature,Pflanze_gross,pflanze_gross.png
train5,list2,54,Rock_klein,Rock,klein,47,LFP,SP,ncblock,clothing,Rock_klein,rock_klein.png
train5,list2,55,Rose_neu,Rose,neu,48,LFP,SN,ncblock,nature,Rose_gross,rose_gross.png
train5,list2,56,Schale_alt,Schale,alt,49,LFP,SP,ncblock,tool,Schale_alt,schale_alt.png
train5,list2,57,Stadion_neu,Stadion,neu,51,HFP,SP,ncblock,building,Stadion_neu,stadion_neu.png
train5,list2,58,Tasse_neu,Tasse,neu,52,LFP,SP,ncblock,tool,Tasse_neu,tasse_neu.png
train5,list2,59,Teppich_klein,Teppich,klein,53,LFP,SP,ncblock,furniture,Teppich_klein,teppich_klein.png
train5,list2,60,Tomate_neu,Tomate,neu,55,LFP,SP,ncblock,vegetable,Tomate_neu,tomate_neu.png
train5,list2,61,Tuer_neu,Tuer,neu,57,HFP,SP,ncblock,building,Tuer_neu,tuer_neu.png
train5,list2,62,Uhr_klein,Uhr,klein,59,LFP,SP,ncblock,tool,Uhr_klein,uhr_klein.png
train5,list2,63,Wolke_rot,Wolke,rot,60,LFP,SN,ncblock,nature,Wolke_gross,wolke_gross.png
train5,list2,64,Zelt_klein,Zelt,klein,63,HFP,SN,ncblock,building,Zelt_gross,zelt_gross.png
train5,list2,65,Zweig_weiss,Zweig,weiss,65,LFP,SN,ncblock,nature,Zweig_klein,zweig_klein.png
train5,list2,66,Zwiebel_neu,Zwiebel,neu,66,LFP,SP,ncblock,vegetable,Zwiebel_neu,zwiebel_neu.png
